PetID,AdoptionSpeed,LinearSVC,Logistic,Kneighbors,Decisiontree,RF,xgboost
86e1089a3,2,1,1,2,2,2,2
6296e909a,0,4,4,0,0,0,0
3422e4906,3,2,2,3,3,3,3
5842f1ff5,2,4,4,3,4,2,3
850a43f90,2,2,2,1,4,2,2
d24c30b4b,2,2,2,2,2,2,2
1caa6fcdb,1,1,4,4,1,1,1
97aa9eeac,3,2,2,3,3,3,3
c06d167ca,1,1,1,1,1,1,1
7a0942d61,4,4,4,4,4,4,4
8b693ca84,1,2,2,2,1,1,2
8e76c8e39,1,1,1,1,1,1,1
aaedd873d,2,2,2,1,2,2,2
4a9793dfb,1,1,4,1,4,1,4
c02be41e6,2,4,4,4,2,4,4
1fd342e17,4,4,4,1,2,4,4
b38a74866,3,4,4,2,4,3,4
f9d07d5fa,4,4,4,4,4,4,4
1c92ce464,2,2,2,3,3,2,2
b10e7605a,4,2,4,2,4,4,4
6436c1a59,2,4,4,3,2,2,3
234a5a54c,4,4,2,2,4,4,4
1bc0f89d8,4,4,4,4,4,4,4
1bf24d8be,4,4,4,4,4,4,4
988988d5b,1,2,2,3,2,1,1
cf7d3eec0,2,4,3,2,1,2,2
85fc3c314,1,1,1,1,1,1,1
efbf1703a,2,2,2,2,1,2,2
7843a9dca,3,1,1,3,0,4,1
d341fbfd6,2,2,2,1,2,2,2
1a76190c5,3,1,1,3,3,3,3
edb920079,1,4,1,1,1,1,1
543130f60,4,4,4,4,4,4,4
9415bc79e,3,2,2,3,1,3,3
4c6fe4100,4,4,4,3,4,4,2
0737e4f11,1,1,1,1,1,1,1
61fa73996,4,4,4,4,4,4,4
eabb13cea,1,1,1,1,1,1,1
deff069a2,1,2,2,1,2,4,4
4e3640544,3,4,4,3,4,3,4
ace21b6b1,3,2,2,2,3,3,3
8ee223a17,2,1,4,2,2,2,2
9a38d4275,1,4,4,1,1,1,1
671ffc570,3,3,3,3,3,3,3
aece6e7bf,4,4,4,1,2,4,4
c1e816568,4,2,2,1,4,4,4
22f6c0ac6,3,1,2,1,3,3,3
ea159d8da,4,4,4,4,4,4,4
af1035c81,3,4,3,4,3,3,3
0d25f084f,2,4,4,1,2,2,2
6fecc5cf7,3,2,3,2,2,3,3
7fe8ef73d,4,4,4,4,4,4,4
015c75c9e,3,2,2,1,2,3,3
9609a0b86,4,4,4,4,4,4,4
c740abfe1,3,4,4,2,4,4,4
f6551137d,2,3,3,1,3,2,2
8c131db77,4,2,2,1,4,4,4
d765ae877,2,4,4,1,2,4,4
8ce183889,1,2,1,1,1,1,1
9c0ddccc8,4,4,4,4,4,4,4
f9df8656a,1,2,2,2,1,1,1
f0ef9c777,4,4,4,4,4,4,4
3181e5424,4,4,4,4,3,4,4
9883a048e,2,2,2,2,2,2,2
b0dec8779,3,3,3,2,3,3,3
e8d0907ae,1,1,2,1,1,1,1
e540c1ba5,4,4,4,4,1,1,4
4a4db4d32,2,2,2,2,4,2,4
98a98311c,2,2,2,2,4,4,4
ef14861df,4,4,4,4,2,4,4
a9bc357f0,4,4,4,4,4,4,4
aaf4a1439,3,2,2,3,3,3,3
1e62e6022,1,2,2,1,2,1,1
4e797dcdd,4,2,2,4,2,4,2
45d2ddcb8,2,0,2,4,2,2,2
259b10a3e,0,2,2,0,1,0,2
d2490c888,4,4,4,2,4,4,3
2c93c0c11,3,4,4,4,4,4,4
35593da00,1,3,2,1,1,1,1
4cc70e613,3,2,2,3,3,3,3
ff125cf8d,4,4,4,4,2,4,2
c30dd6e9a,1,0,1,1,0,1,1
be9474b85,2,2,2,2,4,2,2
815f4cc08,3,2,2,2,3,3,2
ec5069cf6,3,2,2,2,3,3,2
867308404,2,2,4,1,4,2,2
e9df3ead7,4,4,2,2,2,4,4
258667857,2,1,1,2,2,2,2
fd3172797,3,3,3,3,3,3,3
8df0bb3b3,3,3,3,2,3,3,3
3d0752cd9,3,2,2,2,1,3,2
22051ab84,4,2,1,1,3,4,4
573b3ec3d,4,4,4,2,3,4,4
370fe2afb,3,4,4,4,3,3,3
dd308e46b,4,4,4,4,4,4,4
6a763a055,3,2,2,3,3,3,2
